matrix,engine,framework,ttfp_ms
18,Hungarian,Euler d4,41.93160000431817
18,WFA,BvN,0.1142999972216785
18,WFA,Radix B2,3.0507999908877537
18,WFA,Radix B4,1.494800002546981
18,WFA,Radix B8,0.9251000010408461
18,WFA,Radix B16,0.8739999902900308
18,WFA,Euler d1,20.624299984774552
18,WFA,Euler d2,31.815599984838627
18,WFA,Euler d3,36.53099997609388
18,WFA,Euler d4,38.606999965850264
18,GW (dyn=stat),BvN,1.227799992193468
18,GW (dyn=stat),Radix B2,2.106100000673905
18,GW (dyn=stat),Radix B4,1.2515999987954274
18,GW (dyn=stat),Radix B8,1.0901000059675425
18,GW (dyn=stat),Radix B16,0.832799996715039
18,GW (dyn=stat),Euler d1,20.497700010309927
18,GW (dyn=stat),Euler d2,34.872000018367544
18,GW (dyn=stat),Euler d3,40.732400011620484
18,GW (dyn=stat),Euler d4,44.24389998894185
19,Hungarian,BvN,1.3337999989744276
19,Hungarian,Radix B2,3.2007999980123714
19,Hungarian,Radix B4,1.6958000051090494
19,Hungarian,Radix B8,1.233000002685003
19,Hungarian,Radix B16,1.073300009011291
19,Hungarian,Euler d1,23.550500016426668
19,Hungarian,Euler d2,34.65489999507554
19,Hungarian,Euler d3,41.60920000867918
19,Hungarian,Euler d4,45.281499973498285
19,WFA,BvN,0.12399999832268804
19,WFA,Radix B2,2.920400002039969
19,WFA,Radix B4,1.4054999919608235
19,WFA,Radix B8,0.8854999905452132
19,WFA,Radix B16,0.8393000171054155
19,WFA,Euler d1,21.693200003937818
19,WFA,Euler d2,34.34890000789892
19,WFA,Euler d3,32.46820000640582
19,WFA,Euler d4,43.943600001512095
19,GW (dyn=stat),BvN,1.542199999676086
19,GW (dyn=stat),Radix B2,2.6910000015050173
19,GW (dyn=stat),Radix B4,1.6476000018883497
19,GW (dyn=stat),Radix B8,1.4399999927263707
19,GW (dyn=stat),Radix B16,1.1192999954801053
19,GW (dyn=stat),Euler d1,22.750099989934824
19,GW (dyn=stat),Euler d2,34.85969999746885
19,GW (dyn=stat),Euler d3,40.42880001361482
19,GW (dyn=stat),Euler d4,44.101700026658364
20,Hungarian,BvN,1.2805000005755574
20,Hungarian,Radix B2,2.9510000022128224
20,Hungarian,Radix B4,1.6891999839572236
20,Hungarian,Radix B8,1.261999990674667
20,Hungarian,Radix B16,1.0400000028312206
20,Hungarian,Euler d1,21.904299996094778
20,Hungarian,Euler d2,34.23049999400973
20,Hungarian,Euler d3,39.9778000137303
20,Hungarian,Euler d4,43.357099988497794
20,WFA,BvN,0.11670000094454736
20,WFA,Radix B2,2.413800000795163
20,WFA,Radix B4,1.3494000013452023
20,WFA,Radix B8,0.8674999990034848
20,WFA,Radix B16,1.0809000086737797
